2013;;;;
informatyka;;;;
nazwa_przedmiotu;w;Ä‡w;lab;sem
Podstawy matematyki wy¿szej;30;30;;1
Podstawy analizy matematycznej;30;30;;1
Wstêp do programowania;30;;30;1
Matematyka dyskretna 1;30;30;;1
Architektura komputerów;30;;30;1
Podstawy ekonomii;30;;;1
Ergonomia i BHP;15;;;1
Wychowanie fizyczne;;30;;1
Analiza matematyczna;30;30;;2
Algebra liniowa;30;30;;2
Algorytmy i struktury danych;30;;30;2
Podstawy fizyki;30;30;;2
Laboratorium fizyki;;;30;2
Matematyka dyskretna 2;30;30;;2
Filozofia;30;;;2
Rachunek prawdopodobieñstwa i statystyka;30;30;;3
Programowanie obiektowe;30;;30;3
Systemy operacyjne;30;;30;3
Podstawy elektroniki;30;30;;3
Laboratorium elektroniki;;;30;3
Formy dzia³alnoœci gospodarczej;15;15;;3
Ochrona w³asnoœci intelektualnej;15;;;3
Jêzyk obcy;;60;;3
Technologie baz danych;30;;30;4
In¿ynieria Oprogramowania;30;;30;4
Grafy i sieci;30;15;;4
Metody numeryczne;30;15;15;4
Metody analizy danych;15;;15;4
Budowa stron WWW;;;30;4
Technologie XML;;;30;4
Jêzyk obcy;;60;;4
Sieci komputerowe;30;;30;5
Paradygmaty programowania;30;;30;5
Techniki cyfrowe i podstawy systemow wbudowanych;30;;30;5
Architektura komputerów przysz³oœci;15;;15;5
Analiza i modelowanie danych;15;;30;5
Architektura oprogramowania;15;;30;5
Programowanie zdarzeniowe;15;;15;5
Bioinformatyka;15;;15;5
Podstawy teleinformatyki;15;;30;5
Programowanie komponentowe;15;;30;5
Teoria algorytmów;15;;30;5
Modelowanie i animacja przy u¿yciu programu Blender;15;;15;5
Modelowanie procesów biznesu;15;;15;5
Systemy multimedialne;30;;15;5
Cyfrowe przetwarzanie sygna³ów;15;;15;5
Praktyki;;;;5
Grafika komputerowa i komunikacja z komputerem;30;;30;6
Problemy spo³eczne i zawodowe informatyki;15;;;6
Projekt zespo³owy;;;15;6
Technologie CISCO;15;;15;6
Metody Data Mining;30;;30;6
Ochrona informacji i bezpieczeñstwo systemów;30;;30;6
Hurtownie danych;15;;30;6
Systemy przetwarzania danych;15;;30;6
Grafika u¿ytkowa;15;;15;6
Programowanie in¿ynierskie;15;;15;6
Semistrukturalne bazy danych;15;;15;6
Systemy wbudowane;30;;30;6
Systemy rozproszone;30;;30;6
Us³ugi sieciowe;30;;15;6
Symulacja komputerowa;15;;30;6
Programowanie w Internecie;15;;30;6
Ochrona informacji i bezpieczeñstwo systemów;30;;30;6
Hurtownie danych;15;;30;6
Aplikacje internetowe;30;;15;6
Wizualizacja danych;30;;30;6
Symulacja komputerowa;15;;30;6
Seminarium dyplomowe;;30;;6
Sztuczna inteligencja;30;;15;7
Komunikacja miêdzykulturowa;30;;;7
Seminarium dyplomowe;;30;;7
Systemy Business Intelligence;15;;30;7
In¿ynieria danych;15;;15;7
Administracja systemami komputerowymi;15;;15;7
Systemy Business Intelligence;15;;30;7
Systemy handlu elektronicznego;15;;15;7
Wprowadzenie do lingwistyki komputerowej;15;;15;7
Systemy mobilne i komunikacja bezprzewodowa;30;;15;7
Bezpieczeñstwo systemów komputerowych;15;;15;7
Fakultet specjalnoœciowy 3;15;;15;7
Cyfrowe przetwarzanie obrazu;30;;15;7
Animacja komputerowa;15;;15;7
Odporne metody analizy obrazów;15;;15;7
